Resume_Index,Rank,Similarity_Score,Job_Title,Job_Description
0,1,0.7976861000061035, Data Scientist -Transit,data scientist transit job summary part nextbus data science team build information rich data product using cutting edge technique technology solve transportation related challenge problem leveraging machine learning data modeling statistical modelin...
0,2,0.7859522104263306,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
0,3,0.785615086555481,Data Scientist,data scientist job duty responsibility bring creativity data product analyze transaction data build model predict possible finance operation inconsistency use machine learning method perform transaction matching matching algorithm cleanse raw data us...
0,4,0.7839412689208984,Data Scientist,data scientist idea diving head first one comprehensive datasets internet metadata infrastructure excite want help win battle cyber crime building predictive solution domaintools threat intelligence platform data scientist domaintools help improve ab...
0,5,0.7811732292175293,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
1,1,0.7347729802131653, Data Scientist,data scientist looking data scientist join team someone want embed fabric company tackling interesting also meaningful challenge going putting together report someone review discus maybe never incorporate another fintech big data company chance see e...
1,2,0.7194378972053528,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
1,3,0.7142456769943237, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
1,4,0.6985952854156494,Data Science Generalist,data science generalist rainforest changing way people data heart looking data scientist machine learning engineer wide range competency crowd management fraud detection data visualization automation research myriad opportunity use creativity technic...
1,5,0.6958512663841248, Solutions Architect/Data Scientist,solution architect data scientist job description passion machine learning deep learning real time analytics big data working enterprise customer designing developing deploying solution world fastest gpu accelerated olap database consider top peer lo...
2,1,0.7468234300613403,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
2,2,0.7452045679092407,Data Scientist - TX,data scientist work closely product manager industry expert identify best value case data science based control product responsible delivering reporting performance model algorithm operate scalable manner improve industrial control efficiency work cl...
2,3,0.7397431135177612, Data Scientist,data scientist rms analytics phm artificial intelligence apa innovation team applies technology process expertise wide variety platform data order drive proactive decision making throughout business data generated board health usage monitoring system...
2,4,0.7384815216064453,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
2,5,0.7380619645118713,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
3,1,0.8341962695121765,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
3,2,0.8132984638214111, Analyst III - Data Integration,analyst iii data integration job posting external ari part holman automotive group headquartered laurel billion dollar global vehicle fleet leasing management company pride providing exceptional service recognized leader industry largest fleet manage...
3,3,0.8107283115386963, Data Engineer,data engineer responsibility understand business capability requirement transform robust design solution perform hand work using python able write complex sql understand api able consume write api needed perform report development using enterprise to...
3,4,0.7970779538154602, Data Analyst,data analyst role data analyst play key role growing cross functional analytics team opportunity take lead project analyst position pivotal analyzing reporting globo key performance metric aid ongoing optimization effort position provide opportunity ...
3,5,0.7970007061958313,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
4,1,0.6450191736221313,Data Analyst Intern,data analyst intern person assist producing weekly department status report build dashboard visualization report present analyze result experience designing data model creating automated procedure scale operationalize process strong excel skill stron...
4,2,0.6153476238250732,Data Analyst,data analyst job detail title data analyst location phoenix description duty analyze compile data transaction foundation server database tfs required skill year experience team foundation server year experience microsoft excel minimum high school edu...
4,3,0.6111046671867371,Project Manager Big Data Analytics,project manager big data analytics mandatory skill project management pe desirable skill medical device qara job description key skill required job project management pe mandatory medical device qara project manager responsible end end project manage...
4,4,0.6070051193237305,Machine Learning Engineer,machine learning engineer machine learning engineer member team machine learning engineer working closely data scientist working machine learning infrastructure help data scientist develop model used improve user experience better personalization wor...
4,5,0.6019893884658813,Database Administrator- Foundation,database administrator foundation database administrator foundation exciting full time position responsible comprehensive database administration foundation successful candidate ensures donor data collected store properly used member organization dat...
5,1,0.6510905027389526, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
5,2,0.6349436640739441,Machine Learning/ Natural Language Processing Engineer,machine learning natural language processing engineer please apply local bay area face face interview strong working knowledge machine learning technique hand coding development java python year experience applied machine learning fluency data modeli...
5,3,0.6204529404640198,Machine Learning Engineer,machine learning engineer machine learning engineer member team machine learning engineer working closely data scientist working machine learning infrastructure help data scientist develop model used improve user experience better personalization wor...
5,4,0.6181806921958923,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
5,5,0.6069647669792175, Software Engineer - Machine Learning,software engineer machine learning work closely machine learning scientist build state art novel machine learning algorithm learn semantics data image video text audio modality process datasets run deep learning training develop new algorithm underst...
6,1,0.8438776135444641,Data Scientist,data scientist job duty responsibility bring creativity data product analyze transaction data build model predict possible finance operation inconsistency use machine learning method perform transaction matching matching algorithm cleanse raw data us...
6,2,0.8154118657112122,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
6,3,0.8063037991523743, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
6,4,0.8060203194618225,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
6,5,0.8009824752807617, Professional Artificial Intelligence / Data Science,professional artificial intelligence data science innovation solution camelot innovative technology lab leading sap consultancy digital value chain management year experience lead customer digital transformation capability range strategic dialogue ar...
7,1,0.8203716278076172,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
7,2,0.8200749158859253,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
7,3,0.8161749243736267, Machine Learning Engineer,machine learning engineer job description opportunity iris pluralsight learning intelligence platform innovative unique user experience whose aim use data create smarter personalized learning journey cutting edge key component pluralsight strategy gr...
7,4,0.8158039450645447, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
7,5,0.809514582157135,Data Science Generalist,data science generalist rainforest changing way people data heart looking data scientist machine learning engineer wide range competency crowd management fraud detection data visualization automation research myriad opportunity use creativity technic...
8,1,0.8281805515289307,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
8,2,0.7859822511672974, D3- Sr. NLP Deep Learning Data Scientist,nlp deep learning data scientist good people build rewarding career think working insurance field exciting rewarding challenging think help reinvent protection retirement improve customer life help make impact training mentoring offering opportunity ...
8,3,0.7509624361991882,"Software Engineer, Machine Learning",software engineer machine learning note applying position application automatically submitted following location seattle usa kirkland usa google software engineer develop next generation technology change billion user connect explore interact informa...
8,4,0.7431593537330627, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
8,5,0.7414352893829346, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
9,1,0.8350174427032471, Professional Artificial Intelligence / Data Science,professional artificial intelligence data science innovation solution camelot innovative technology lab leading sap consultancy digital value chain management year experience lead customer digital transformation capability range strategic dialogue ar...
9,2,0.8197594881057739,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
9,3,0.8141273856163025, Analytics Engineer,analytics engineer analytics engineer work implementing lattice platform customer specific role analyze transform raw customer data summarized aggregated data set suitable predictive modeling machine learning best candidate thrive fast paced environm...
9,4,0.8067219853401184," Data Scientist, Austin",data scientist austin code pilot data science company mission change hiring process engineer judged talent created code pilot portfolio intelligent platform showcase validate share skill hiring manager real time need resume cover letter phone screen ...
9,5,0.8057489991188049, Data Scientist,data scientist job description make difference every day team applied people applied making difference every day innovation commitment help safeguard protect matter first market software mobile data analytics solution applied revolutionizing company ...
10,1,0.7976861000061035, Data Scientist -Transit,data scientist transit job summary part nextbus data science team build information rich data product using cutting edge technique technology solve transportation related challenge problem leveraging machine learning data modeling statistical modelin...
10,2,0.7859522104263306,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
10,3,0.785615086555481,Data Scientist,data scientist job duty responsibility bring creativity data product analyze transaction data build model predict possible finance operation inconsistency use machine learning method perform transaction matching matching algorithm cleanse raw data us...
10,4,0.7839412689208984,Data Scientist,data scientist idea diving head first one comprehensive datasets internet metadata infrastructure excite want help win battle cyber crime building predictive solution domaintools threat intelligence platform data scientist domaintools help improve ab...
10,5,0.7811732292175293,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
11,1,0.7347729802131653, Data Scientist,data scientist looking data scientist join team someone want embed fabric company tackling interesting also meaningful challenge going putting together report someone review discus maybe never incorporate another fintech big data company chance see e...
11,2,0.7194378972053528,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
11,3,0.7142456769943237, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
11,4,0.6985952854156494,Data Science Generalist,data science generalist rainforest changing way people data heart looking data scientist machine learning engineer wide range competency crowd management fraud detection data visualization automation research myriad opportunity use creativity technic...
11,5,0.6958512663841248, Solutions Architect/Data Scientist,solution architect data scientist job description passion machine learning deep learning real time analytics big data working enterprise customer designing developing deploying solution world fastest gpu accelerated olap database consider top peer lo...
12,1,0.7468234300613403,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
12,2,0.7452045679092407,Data Scientist - TX,data scientist work closely product manager industry expert identify best value case data science based control product responsible delivering reporting performance model algorithm operate scalable manner improve industrial control efficiency work cl...
12,3,0.7397431135177612, Data Scientist,data scientist rms analytics phm artificial intelligence apa innovation team applies technology process expertise wide variety platform data order drive proactive decision making throughout business data generated board health usage monitoring system...
12,4,0.7384815216064453,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
12,5,0.7380619645118713,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
13,1,0.8341962695121765,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
13,2,0.8132984638214111, Analyst III - Data Integration,analyst iii data integration job posting external ari part holman automotive group headquartered laurel billion dollar global vehicle fleet leasing management company pride providing exceptional service recognized leader industry largest fleet manage...
13,3,0.8107283115386963, Data Engineer,data engineer responsibility understand business capability requirement transform robust design solution perform hand work using python able write complex sql understand api able consume write api needed perform report development using enterprise to...
13,4,0.7970779538154602, Data Analyst,data analyst role data analyst play key role growing cross functional analytics team opportunity take lead project analyst position pivotal analyzing reporting globo key performance metric aid ongoing optimization effort position provide opportunity ...
13,5,0.7970007061958313,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
14,1,0.6450191736221313,Data Analyst Intern,data analyst intern person assist producing weekly department status report build dashboard visualization report present analyze result experience designing data model creating automated procedure scale operationalize process strong excel skill stron...
14,2,0.6153476238250732,Data Analyst,data analyst job detail title data analyst location phoenix description duty analyze compile data transaction foundation server database tfs required skill year experience team foundation server year experience microsoft excel minimum high school edu...
14,3,0.6111046671867371,Project Manager Big Data Analytics,project manager big data analytics mandatory skill project management pe desirable skill medical device qara job description key skill required job project management pe mandatory medical device qara project manager responsible end end project manage...
14,4,0.6070051193237305,Machine Learning Engineer,machine learning engineer machine learning engineer member team machine learning engineer working closely data scientist working machine learning infrastructure help data scientist develop model used improve user experience better personalization wor...
14,5,0.6019893884658813,Database Administrator- Foundation,database administrator foundation database administrator foundation exciting full time position responsible comprehensive database administration foundation successful candidate ensures donor data collected store properly used member organization dat...
15,1,0.6510905027389526, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
15,2,0.6349436640739441,Machine Learning/ Natural Language Processing Engineer,machine learning natural language processing engineer please apply local bay area face face interview strong working knowledge machine learning technique hand coding development java python year experience applied machine learning fluency data modeli...
15,3,0.6204529404640198,Machine Learning Engineer,machine learning engineer machine learning engineer member team machine learning engineer working closely data scientist working machine learning infrastructure help data scientist develop model used improve user experience better personalization wor...
15,4,0.6181806921958923,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
15,5,0.6069647669792175, Software Engineer - Machine Learning,software engineer machine learning work closely machine learning scientist build state art novel machine learning algorithm learn semantics data image video text audio modality process datasets run deep learning training develop new algorithm underst...
16,1,0.8438776135444641,Data Scientist,data scientist job duty responsibility bring creativity data product analyze transaction data build model predict possible finance operation inconsistency use machine learning method perform transaction matching matching algorithm cleanse raw data us...
16,2,0.8154118657112122,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
16,3,0.8063037991523743, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
16,4,0.8060203194618225,Data Analyst Intern,data analyst intern donnelley financial solution nyse dfin provides software service enable client communicate confidence complex regulatory environment employee location across country provide thousand client globally innovative tool content creatio...
16,5,0.8009824752807617, Professional Artificial Intelligence / Data Science,professional artificial intelligence data science innovation solution camelot innovative technology lab leading sap consultancy digital value chain management year experience lead customer digital transformation capability range strategic dialogue ar...
17,1,0.8203716278076172,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
17,2,0.8200749158859253,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
17,3,0.8161749243736267, Machine Learning Engineer,machine learning engineer job description opportunity iris pluralsight learning intelligence platform innovative unique user experience whose aim use data create smarter personalized learning journey cutting edge key component pluralsight strategy gr...
17,4,0.8158039450645447, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
17,5,0.809514582157135,Data Science Generalist,data science generalist rainforest changing way people data heart looking data scientist machine learning engineer wide range competency crowd management fraud detection data visualization automation research myriad opportunity use creativity technic...
18,1,0.8281805515289307,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
18,2,0.7859822511672974, D3- Sr. NLP Deep Learning Data Scientist,nlp deep learning data scientist good people build rewarding career think working insurance field exciting rewarding challenging think help reinvent protection retirement improve customer life help make impact training mentoring offering opportunity ...
18,3,0.7509624361991882,"Software Engineer, Machine Learning",software engineer machine learning note applying position application automatically submitted following location seattle usa kirkland usa google software engineer develop next generation technology change billion user connect explore interact informa...
18,4,0.7431593537330627, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
18,5,0.7414352893829346, Data Scientist - Machine Learning,data scientist machine learning job title data scientist machine learning position overview data science team seeking experienced machine learning engineer successful candidate work data science engineering team select algorithm implement new methodo...
19,1,0.8350174427032471, Professional Artificial Intelligence / Data Science,professional artificial intelligence data science innovation solution camelot innovative technology lab leading sap consultancy digital value chain management year experience lead customer digital transformation capability range strategic dialogue ar...
19,2,0.8197594881057739,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
19,3,0.8141273856163025, Analytics Engineer,analytics engineer analytics engineer work implementing lattice platform customer specific role analyze transform raw customer data summarized aggregated data set suitable predictive modeling machine learning best candidate thrive fast paced environm...
19,4,0.8067219853401184," Data Scientist, Austin",data scientist austin code pilot data science company mission change hiring process engineer judged talent created code pilot portfolio intelligent platform showcase validate share skill hiring manager real time need resume cover letter phone screen ...
19,5,0.8057489991188049, Data Scientist,data scientist job description make difference every day team applied people applied making difference every day innovation commitment help safeguard protect matter first market software mobile data analytics solution applied revolutionizing company ...
20,1,0.7976861000061035, Data Scientist -Transit,data scientist transit job summary part nextbus data science team build information rich data product using cutting edge technique technology solve transportation related challenge problem leveraging machine learning data modeling statistical modelin...
20,2,0.7859522104263306,Data Science Engineer,data science engineer ursa space system building ground breaking solution deliver global economic intelligence organization around world ursa seeking data science engineer join team uncover value data assist product development sale team generate use...
20,3,0.785615086555481,Data Scientist,data scientist job duty responsibility bring creativity data product analyze transaction data build model predict possible finance operation inconsistency use machine learning method perform transaction matching matching algorithm cleanse raw data us...
20,4,0.7839412689208984,Data Scientist,data scientist idea diving head first one comprehensive datasets internet metadata infrastructure excite want help win battle cyber crime building predictive solution domaintools threat intelligence platform data scientist domaintools help improve ab...
20,5,0.7811732292175293,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
21,1,0.7347729802131653, Data Scientist,data scientist looking data scientist join team someone want embed fabric company tackling interesting also meaningful challenge going putting together report someone review discus maybe never incorporate another fintech big data company chance see e...
21,2,0.7194378972053528,Machine Learning Research Scientist,machine learning research scientist live moment remarkable change opportunity cognitive computing convergence data technology transforming industry society workplace cognitivescale looking talent drive market success building cognitive business solut...
21,3,0.7142456769943237, Data Scientist Intern,data scientist intern data scientist intern help discover information hidden vast amount data help make smarter decision deliver even better product service primary focus applying data mining technique statistical analysis building high quality analy...
21,4,0.6985952854156494,Data Science Generalist,data science generalist rainforest changing way people data heart looking data scientist machine learning engineer wide range competency crowd management fraud detection data visualization automation research myriad opportunity use creativity technic...
21,5,0.6958512663841248, Solutions Architect/Data Scientist,solution architect data scientist job description passion machine learning deep learning real time analytics big data working enterprise customer designing developing deploying solution world fastest gpu accelerated olap database consider top peer lo...
22,1,0.7468234300613403,Data Scientist,data scientist data scientist responsible data analysis modeling generate business insight extract analyze campaign data product vintage channel customer segment utilize historical trend predictive model forecast cash flow us historical data trending...
